,subj,handedness,finger,hand,dominant_hand,time_bin,taps_bin
0,0,left,index,left,True,0,66
1,0,left,index,left,True,1,54
2,0,left,index,left,True,2,52
3,0,left,index,left,True,3,55
4,0,left,index,left,True,4,50
5,0,left,index,left,True,5,53
6,1,right,pinky,right,True,0,67
7,1,right,pinky,right,True,1,62
8,1,right,pinky,right,True,2,59
9,1,right,pinky,right,True,3,62
10,1,right,pinky,right,True,4,63
11,1,right,pinky,right,True,5,58
12,2,right,pinky,left,False,0,59
13,2,right,pinky,left,False,1,52
14,2,right,pinky,left,False,2,48
15,2,right,pinky,left,False,3,48
16,2,right,pinky,left,False,4,47
17,2,right,pinky,left,False,5,42
18,3,right,index,left,False,0,59
19,3,right,index,left,False,1,55
20,3,right,index,left,False,2,49
21,3,right,index,left,False,3,50
22,3,right,index,left,False,4,50
23,3,right,index,left,False,5,45
24,4,left,index,right,False,0,61
25,4,left,index,right,False,1,52
26,4,left,index,right,False,2,51
27,4,left,index,right,False,3,46
28,4,left,index,right,False,4,46
29,4,left,index,right,False,5,45
30,5,right,pinky,right,True,0,62
31,5,right,pinky,right,True,1,56
32,5,right,pinky,right,True,2,52
33,5,right,pinky,right,True,3,51
34,5,right,pinky,right,True,4,47
35,5,right,pinky,right,True,5,43
36,6,right,pinky,right,True,0,66
37,6,right,pinky,right,True,1,57
38,6,right,pinky,right,True,2,55
39,6,right,pinky,right,True,3,58
40,6,right,pinky,right,True,4,59
41,6,right,pinky,right,True,5,51
42,7,right,index,left,False,0,72
43,7,right,index,left,False,1,69
44,7,right,index,left,False,2,61
45,7,right,index,left,False,3,66
46,7,right,index,left,False,4,62
47,7,right,index,left,False,5,58
48,8,right,pinky,left,False,0,52
49,8,right,pinky,left,False,1,46
50,8,right,pinky,left,False,2,47
51,8,right,pinky,left,False,3,48
52,8,right,pinky,left,False,4,47
53,8,right,pinky,left,False,5,46
54,9,right,pinky,right,True,0,58
55,9,right,pinky,right,True,1,52
56,9,right,pinky,right,True,2,52
57,9,right,pinky,right,True,3,53
58,9,right,pinky,right,True,4,54
59,9,right,pinky,right,True,5,54
60,10,right,pinky,left,False,0,49
61,10,right,pinky,left,False,1,46
62,10,right,pinky,left,False,2,48
63,10,right,pinky,left,False,3,54
64,10,right,pinky,left,False,4,48
65,10,right,pinky,left,False,5,46
66,11,right,index,right,True,0,67
67,11,right,index,right,True,1,62
68,11,right,index,right,True,2,59
69,11,right,index,right,True,3,60
70,11,right,index,right,True,4,58
71,11,right,index,right,True,5,54
72,12,right,index,left,False,0,61
73,12,right,index,left,False,1,51
74,12,right,index,left,False,2,46
75,12,right,index,left,False,3,45
76,12,right,index,left,False,4,46
77,12,right,index,left,False,5,39
78,13,right,pinky,left,False,0,47
79,13,right,pinky,left,False,1,44
