,ntaps,handedness,finger,hand,gamer,sleep_hrs,sport,dominant_hand
0,338,Right,Pinky,Left,No,7,0,FALSE
1,398,Right,Index,Right,No,6,8,TRUE
2,364,Right,Index,Right,No,5,0,TRUE
3,409,Right,Pinky,Right,Yes,4,7,TRUE
4,304,Right,Index,Left,No,5.83,2,FALSE
5,392,Right,Index,Right,No,5,3,TRUE
6,439,Right,Index,Right,Yes,8,3,TRUE
7,386,Right,Index,Right,No,7,8,TRUE
8,271,Right,Pinky,Left,No,6,3,FALSE
9,278,Right,Pinky,Left,No,8,0,FALSE
10,450,Right,Index,Left,No,8,15,FALSE
11,498,Right,Pinky,Right,Yes,5,4,TRUE
12,377,Right,Pinky,Right,No,6,15,TRUE
13,415,Left,Index,Right,Yes,5,15,FALSE
14,288,Right,Index,Left,No,7,0,FALSE
15,465,Right,Index,Right,No,6,3,TRUE
16,253,Right,Pinky,Left,No,6,0,FALSE
17,281,Right,Pinky,Left,No,8,8,FALSE
18,302,Right,Index,Left,No,6.5,10,FALSE
19,306,Right,Index,Left,No,6.5,0,FALSE
20,363,Right,Pinky,Right,No,7,5,TRUE
21,300,Right,Index,Left,No,6,0,FALSE
22,300,Right,Index,Right,No,7,5,TRUE
23,266,Right,Pinky,Right,No,8,10,TRUE
24,406,Right,Index,Right,No,7,0,TRUE
25,335,Right,Pinky,Right,No,7,3,TRUE
26,308,Right,Index,Left,No,7,3,FALSE
27,381,Right,Index,Right,No,6,12,TRUE
28,352,Right,Pinky,Left,No,5,10,FALSE
29,341,Right,Index,Right,No,6,2,TRUE
30,222,Right,Pinky,Left,No,6,0,FALSE
31,296,Right,Pinky,Left,No,7.5,5,FALSE
32,367,Right,Pinky,Right,No,5.5,4,TRUE
33,283,Right,Pinky,Left,No,7,0,FALSE
34,381,Right,Pinky,Right,No,6,4,TRUE
35,330,Left,Index,Left,No,6.5,10,TRUE
36,362,Right,Index,Right,Yes,5,2,TRUE
37,372,Right,Index,Right,No,8,0,TRUE
38,286,Right,Pinky,Left,No,6.5,10,FALSE
39,270,Right,Pinky,Left,No,6.5,0,FALSE
40,244,Right,Pinky,Right,No,8,0,TRUE
41,415,Right,Index,Right,No,8,12,TRUE
42,386,Right,Pinky,Right,No,6,12,TRUE
43,314,Right,Pinky,Left,No,5,0,FALSE
44,366,Right,Index,Left,No,7,2,FALSE
45,370,Right,Index,Right,No,7,3,TRUE
46,360,Right,Index,Right,No,8,10,TRUE
47,406,Right,Index,Right,No,7,3,TRUE
48,347,Right,Index,Right,No,5,2,TRUE
49,360,Right,Index,Right,Yes,7.5,15,TRUE
50,378,Right,Index,Right,No,5,15,TRUE
51,235,Right,Pinky,Right,No,8,10,TRUE
52,287,Right,Index,Left,No,7,13,FALSE
53,225,Right,Pinky,Right,No,7.5,5,TRUE
54,500,Right,Index,Right,No,7,1,TRUE
55,339,Right,Pinky,Right,No,6,2,TRUE
56,338,Right,Pinky,Left,No,8,0,FALSE
57,350,Right,Pinky,Left,Yes,6,0,FALSE
58,334,Left,Index,Left,No,7,0,TRUE
59,367,Right,Pinky,Right,No,5,4,TRUE
60,360,Right,Index,Right,No,6,5,TRUE
61,271,Left,Pinky,Right,No,6,4,FALSE
62,425,Right,Index,Right,No,8,4,TRUE
63,328,Right,Index,Left,No,8.5,7,FALSE
64,424,Right,Pinky,Right,No,8,4,TRUE
