,subj,hand,finger,handedness,dominant_hand,ntaps
0,0,left,index,left,True,330
1,1,right,pinky,right,True,371
2,2,left,pinky,right,False,296
3,3,left,index,right,False,308
4,4,right,index,left,False,301
5,5,right,pinky,right,True,311
6,6,right,pinky,right,True,346
7,7,left,index,right,False,388
8,8,left,pinky,right,False,286
9,9,right,pinky,right,True,323
10,10,left,pinky,right,False,291
11,11,right,index,right,True,360
12,12,left,index,right,False,288
13,13,left,pinky,right,False,222
14,14,left,index,right,False,304
15,15,right,pinky,right,True,244
16,16,left,pinky,right,False,281
17,17,left,pinky,right,False,241
18,18,right,index,right,True,412
19,19,right,index,right,True,409
20,20,left,index,right,False,308
21,21,left,pinky,right,False,338
22,22,right,pinky,right,True,496
23,23,left,index,right,False,287
24,24,right,index,right,True,304
25,25,right,index,right,True,424
26,26,right,pinky,right,True,377
27,27,right,index,right,True,363
28,28,right,index,right,True,381
29,29,right,pinky,right,True,386
30,30,right,pinky,right,True,406
31,31,left,pinky,right,False,352
32,32,left,index,right,False,306
33,33,left,pinky,left,True,301
34,34,right,pinky,right,True,358
35,35,left,pinky,right,False,278
36,36,left,index,right,False,306
37,37,right,pinky,right,True,425
38,38,right,index,right,True,319
39,39,right,index,right,True,360
40,40,right,index,right,True,423
41,41,right,pinky,right,True,412
42,42,right,pinky,right,True,235
43,43,left,pinky,right,False,283
44,44,right,index,right,True,377
45,45,left,index,right,False,340
46,46,right,index,right,True,344
47,47,left,pinky,right,False,288
48,48,right,index,right,True,318
49,49,right,pinky,right,True,300
50,50,right,index,right,True,406
51,51,right,index,right,True,388
52,52,left,pinky,right,False,338
53,53,right,pinky,right,True,335
54,54,right,pinky,left,False,271
55,55,right,pinky,left,False,396
56,56,left,pinky,right,False,291
57,57,right,index,left,False,425
58,58,right,index,right,True,261
59,59,left,pinky,right,False,270
60,60,left,pinky,right,False,286
61,61,right,pinky,right,True,378
62,62,right,index,right,True,415
63,63,right,pinky,right,True,348
64,64,right,index,right,True,374
65,65,right,index,right,True,364
66,66,right,pinky,right,True,266
67,67,left,pinky,right,False,253
68,68,left,index,right,False,287
69,69,right,index,right,True,406
70,70,right,pinky,right,True,225
71,71,right,index,right,True,352
72,72,left,index,right,False,304
73,73,right,pinky,right,True,309
74,74,right,index,right,True,370
75,75,left,index,right,False,321
76,76,right,pinky,right,True,364
77,77,right,index,right,True,386
78,78,left,index,right,False,318
79,79,left,pinky,right,False,323
80,80,right,index,right,True,386
81,81,left,index,right,False,366
82,82,left,pinky,right,False,272
83,83,left,index,right,False,306
84,84,right,index,right,True,372
85,85,left,index,left,True,334
86,86,right,pinky,right,True,313
87,87,left,index,left,True,316
88,88,left,index,right,False,411
89,89,left,index,right,False,327
90,90,left,index,right,False,304
91,91,right,index,right,True,360
92,92,right,index,right,True,354
93,93,right,index,right,True,500
94,94,right,pinky,right,True,409
95,95,left,index,right,False,338
96,96,left,pinky,right,False,314
97,97,left,index,left,True,355
98,98,left,index,right,False,305
99,99,right,index,right,True,387
100,100,right,index,right,True,347
